sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
其他電子業,2026-09-17,1,8.26,-5.85,-12.83,25.86,0.0,0,1,-4493672.0,-3127.6,-3127.6,20.51,-12.25,-0.43,-0.35,0.08,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-17,1,7.54,-3.03,5.41,13.9,0.0,0,1,-535919.0,-60.0,-60.0,9.87,-2.33,-0.46,-0.21,0.26,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-17,1,6.38,-2.58,5.39,11.36,0.0,0,1,30042579.0,2268.2,2268.2,5.42,0.96,-0.52,-0.1,0.42,❄️ Weak,💰 Capital Leading,💰 Capital Leading → ❄️ Weak,REVERSING,❄️ Weak
電器電纜,2026-09-17,1,6.0,-0.4,-4.74,14.56,0.0,0,1,21958250.0,815.7,815.7,8.08,-2.08,-0.54,-0.17,0.37,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電機機械,2026-09-17,4,3.66,-7.9,-7.92,15.23,0.0,0,4,-4773177.0,-2330.1,-582.52,6.84,-3.18,-0.65,-0.31,0.34,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-17,1,2.66,-7.41,2.16,7.96,0.0,0,1,-10842588.0,-304.7,-304.7,3.98,-1.32,-0.7,-0.22,0.48,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-17,1,1.81,-1.61,3.23,2.81,0.0,0,1,-62387882.0,-1525.4,-1525.4,1.26,0.55,-0.74,-0.28,0.46,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-17,1,0.95,-2.68,1.09,2.7,0.0,0,1,-24713.0,-5.4,-5.4,1.32,-0.37,-0.78,-0.2,0.58,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-17,1,-2.08,-3.86,-1.32,-1.58,0.0,0,1,-76932305.0,-1438.6,-1438.6,-0.75,-1.33,-0.93,-0.27,0.65,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-17,1,-6.69,1.56,-17.95,-5.19,100.0,1,1,17421483.0,1019.2,1019.2,0.19,-6.88,-1.15,-0.16,0.99,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
半導體業,2026-09-17,1,-9.74,-4.37,-34.76,0.09,0.0,0,1,-289680.0,-1772.8,-1772.8,25.76,-35.5,-1.3,-0.29,1.01,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
