symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
CRM,Information Technology,Salesforce,2026-08-28,256.0,37.67,45.69,38.77,40.22,1.0,15293725,15691209,14637097,19.77,15.52,54.55,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,2,2,25,6.6,80.36,24.07,False,True,180.89,34.46,1.535,False,267.75,269.11,-4.39,22.39,39.12,11.0,9.0,18140054.0,11814877.0,1.222,34342700.0,19195410.0,16622913.0,2.066,100.0,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 多頭確認,17,1,1,7.4,2,剛爆發
WDAY,Information Technology,"Workday, Inc.",2026-08-28,204.72,24.04,57.46,57.2,48.97,1.0,4968875,5107858,5321506,5.14,-7.72,55.72,P+V+,P+V-,P+V+,➡️ 中性,6,1,17,6.7,5.27,5.68,False,True,157.34,10.1,1.605,False,249.85,249.85,-18.06,2.35,27.68,9.0,11.0,6268722.0,3905363.0,0.818,8668700.0,4641090.0,5526626.0,1.569,100.0,多頭,頭頭高·底底高,空轉多預警,13,1,4,6.4,1,剛爆發
PLTR,Information Technology,Palantir Technologies,2026-08-28,186.29,48.26,29.96,44.59,41.85,1.0,47088020,42783110,44555309,38.24,-7.65,-17.52,P+V+,P+V-,P+V-,➡️ 中性,1,11,21,8.0,18.51,18.08,False,True,143.75,10.99,1.713,False,207.52,207.52,-10.23,3.53,51.38,10.0,10.0,59467910.0,34708130.0,1.0,24995400.0,31023310.0,33773040.0,0.74,100.0,空頭,頭頭低·底底低,多頭確認,16,1,24,11.6,7,剛爆發
FCX,Materials,Freeport-McMoRan,2026-08-28,76.45,20.13,16.34,13.15,15.69,1.0,14381700,14766310,15731754,-5.62,-11.56,-14.68,P+V-,P+V-,P+V-,⚠️ 量能衰竭,2,5,4,3.3,18.5,21.95,False,True,65.57,19.55,1.176,False,80.24,80.24,-4.72,-0.27,22.07,12.0,8.0,15297891.0,13007412.0,1.5,18058100.0,17191120.0,14755686.0,1.224,100.0,多頭,頭頭高·底底高,多頭確認,3,1,1,1.8,1,
NEM,Materials,Newmont,2026-08-28,127.98,34.19,18.25,3.58,14.9,1.0,7845825,8237616,8698936,8.53,-10.07,-16.41,P+V+,P+V-,P+V-,➡️ 中性,1,4,11,3.9,5.68,33.45,False,True,104.36,15.21,1.0,False,135.29,135.29,-5.4,-2.74,36.57,15.0,5.0,7845893.0,7845620.0,3.0,8821100.0,8225790.0,7882940.0,1.119,100.0,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,4,1,4,2.8,2,
SW,Materials,Smurfit Westrock,2026-08-28,48.29,3.95,18.8,7.38,9.38,1.0,4294400,5430955,5414793,-23.49,0.6,0.14,P+V-,P+V+,P+V+,⚠️ 頂部背離,10,3,9,7.7,-16.91,-17.35,False,True,46.35,6.82,1.004,False,51.52,52.65,-6.27,-2.23,6.0,9.0,11.0,4304544.0,4286100.0,0.818,3979700.0,4315860.0,4364573.0,0.912,82.56,多頭,頭頭高·底底高,,7,15,7,10.2,7,吃老本
BXP,Real Estate,"BXP, Inc.",2026-08-28,69.32,-1.55,15.54,19.35,13.17,0.667,1159355,1415229,1845642,-23.17,-37.82,-0.91,P-V-,P+V-,P+V-,➡️ 中性,10,2,2,6.0,14.75,97.57,False,True,68.25,8.85,1.044,False,75.95,79.33,-8.73,2.44,-1.14,9.0,11.0,1186811.0,1136890.0,0.818,858000.0,1193910.0,1162680.0,0.738,80.83,擴散,頭頭高·底底低,,2,15,18,10.4,4,吃老本
CBRE,Real Estate,CBRE Group,2026-08-28,150.82,1.61,19.3,3.18,6.82,1.0,1318590,1922036,2050121,-26.93,-11.76,21.16,P+V-,P+V-,P+V+,⚠️ 頂部背離,6,1,16,6.5,5.77,42.05,False,True,143.47,6.47,1.08,False,174.27,174.27,-13.46,-0.84,2.73,10.0,10.0,1369390.0,1267790.0,1.0,1483400.0,1222460.0,1236066.0,1.2,85.2,多頭,頭頭高·底底高,,5,10,3,6.6,2,
VTR,Real Estate,Ventas,2026-08-28,91.81,1.06,7.64,7.53,5.94,1.0,2919950,3620460,3757668,-12.38,-7.05,29.2,P+V-,P+V-,P+V+,⚠️ 頂部背離,7,5,10,7.0,51.73,-1.4,False,False,92.09,4.56,1.021,False,101.6,101.6,-9.64,-1.34,-1.82,11.0,8.0,2925900.0,2866337.0,1.375,1916800.0,2712260.0,2851833.0,0.672,86.86,擴散,頭頭高·底底低,,7,9,21,10.6,5,
AWK,Utilities,American Water Works,2026-08-28,138.3,6.03,13.79,4.58,7.24,1.0,2183295,2333940,2088327,-1.79,26.66,27.75,P+V-,P+V+,P+V+,⚠️ 頂部背離,1,1,2,1.2,3.97,-7.4,False,True,133.26,5.01,1.113,False,141.77,145.64,-2.45,2.15,3.76,11.0,9.0,2287427.0,2056022.0,1.222,1908200.0,2061170.0,2190666.0,0.871,90.92,多頭,頭頭高·底底高,,1,2,8,2.8,1,
ED,Utilities,Consolidated Edison,2026-08-28,107.49,0.39,1.95,-1.56,-0.19,0.667,2194420,2370746,2301970,0.28,6.16,8.07,P+V+,P+V+,P-V+,🚀 健康多頭,3,4,6,3.9,7.37,-3.83,False,False,109.08,3.98,1.054,False,114.33,116.23,-5.98,1.07,-0.44,12.0,8.0,2240141.0,2125837.0,1.5,1657100.0,2163280.0,2137686.0,0.775,91.11,空頭,頭頭低·底底低,,3,1,14,4.4,2,
EIX,Utilities,Edison International,2026-08-28,70.17,-1.81,1.03,-4.49,-2.44,0.333,3699745,2871496,2982016,48.68,-7.15,-6.18,P-V+,P+V-,P-V-,➡️ 中性,8,6,10,7.8,26.99,7.42,False,False,74.06,9.51,0.635,False,81.62,81.62,-14.03,-1.98,-4.36,8.0,12.0,2749825.0,4333025.0,0.667,7395200.0,3747640.0,3413973.0,2.166,67.7,空頭,頭頭低·底底低,多轉空預警,8,23,2,12.8,13,吃老本
