stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2360,2360,致茂,電子工業,2026-09-04,2030.0,0.0,-22.52,33.99,11.37,0.333,1.0,0.0,11,7,2069194,2034003,1.571,1.017,91.77,48.38,False,2041.6,13.73,False,2795.0,-27.37,P-V-,P-V-,P+V-,⚠️ 主升段結束,多頭,頭頭高·底底高,,,1618618,1876138,2014222.0,-2191876.0,251391.0,73737.0,149.7,20.0,10.0,15.0,16.0,剛爆發
2344,2344,華邦電,電子工業,2026-09-04,174.0,-3.06,-3.06,39.76,18.35,0.333,-4.13,6.42,10,9,156102243,153095744,1.111,1.02,86.71,50.09,True,171.18,14.84,False,233.5,-25.48,P-V+,P-V-,P+V-,➡️ 中性,收斂,頭頭低·底底高,空轉多預警,,100505993,145205578,77836684.0,-76772095.0,-4613959.0,-3549370.0,-617.6,15.0,14.0,14.5,14.0,
3443,3443,創意,半導體業,2026-09-04,5810.0,28.26,32.05,119.66,74.91,1.0,-3.41,27.83,10,10,2446409,2244738,1.0,1.09,99.41,59.07,True,4803.5,21.93,False,6490.0,-10.48,P+V+,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,1581762,1902062,1492231.0,961794.0,248917.0,2702942.0,15704.1,1.0,1.0,1.0,1.0,
8046,8046,南電,電子零組件業,2026-09-04,1055.0,-6.64,20.16,95.01,50.89,0.667,-14.92,-2.31,8,11,10301450,16393891,0.727,0.628,64.55,42.0,False,1150.1,27.54,False,1415.0,-25.44,P-V-,P+V-,P+V-,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 空頭確認,,18619387,14296836,-15224614.0,2121370.0,-1556788.0,-14660032.0,-15466.3,4.0,7.0,5.5,5.0,
2357,2357,華碩,電腦及週邊設備業,2026-09-04,1025.0,25.31,14.91,93.4,56.75,1.0,6.22,25.46,13,6,4366563,3382626,2.167,1.291,100.0,68.66,True,815.38,13.21,False,1030.0,-0.49,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,空轉多預警,,5102743,3351983,17066064.0,3588624.0,-122465.0,20532223.0,21045.5,3.0,1.0,2.0,3.0,
2886,2886,兆豐金,金融保險,2026-09-04,49.55,-2.84,17.7,23.26,15.34,0.667,2.8,-2.65,10,10,35969398,34982798,1.0,1.028,82.52,57.28,True,48.07,9.98,False,53.7,-7.73,P-V+,P+V+,P+V+,⚠️ 中期出貨,擴散,頭頭高·底底低,,,31950981,32036621,229880792.0,43404155.0,-19371720.0,253913227.0,12581.4,10.0,13.0,11.5,11.0,
2301,2301,光寶科,電腦及週邊設備業,2026-09-04,308.0,13.44,23.94,82.25,50.47,1.0,-2.99,24.7,9,10,44390037,29073607,0.9,1.527,100.0,62.16,True,244.12,21.25,False,328.0,-6.1,P+V+,P+V-,P+V+,➡️ 中性,空頭,頭頭低·底底低,多頭確認,,27528977,40322571,13292089.0,17393600.0,616590.0,31302279.0,9641.1,4.0,1.0,2.5,4.0,
6505,6505,台塑化,油電燃氣業,2026-09-04,78.1,13.19,35.83,38.23,31.37,1.0,9.38,10.0,12,8,22747479,20685812,1.5,1.1,100.0,59.71,True,70.47,16.11,False,97.9,-20.22,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,,14976818,22656196,-17297975.0,-8542019.0,762941.0,-25077053.0,-1958.5,1.0,1.0,1.0,1.0,
2884,2884,玉山金,金融保險,2026-09-04,43.55,15.21,30.19,24.79,23.74,1.0,12.39,14.15,13,7,47826029,40284336,1.857,1.187,100.0,82.46,True,36.96,14.5,False,43.55,0.0,P+V-,P+V+,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,多頭確認,,61355856,45696652,-108942435.0,114759980.0,-4188475.0,1629070.0,70.9,7.0,1.0,4.0,7.0,剛爆發
2890,2890,永豐金,金融保險,2026-09-04,42.85,10.15,29.26,30.44,25.07,1.0,7.66,10.01,13,6,25738467,22207167,2.167,1.159,100.0,72.01,True,39.89,10.57,False,43.15,-0.7,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,,19136125,25751918,19164852.0,63228446.0,-8220836.0,74172462.0,3178.3,6.0,1.0,3.5,6.0,
2368,2368,金像電,電子工業,2026-09-04,1045.0,12.85,-22.59,32.78,13.96,0.667,-7.52,6.42,10,10,12967615,8569270,1.0,1.513,92.32,49.88,True,1021.46,30.47,False,1580.0,-33.86,P+V+,P-V-,P+V-,➡️ 中性,收斂,頭頭低·底底高,空轉多預警,,9549227,9472022,-18081663.0,8524894.0,288259.0,-9268510.0,-9685.6,16.0,8.0,12.0,9.0,剛爆發
6446,6446,藥華藥,化學生技醫療,2026-09-04,1310.0,-1.5,39.66,90.13,54.6,0.667,-15.21,5.65,9,10,3854896,5109650,0.9,0.754,74.01,45.98,False,1318.3,25.48,False,1645.0,-20.36,P-V+,P+V+,P+V+,⚠️ 中期出貨,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,3488695,4812764,-1217705.0,-212393.0,-13828.0,-1443926.0,-1891.5,1.0,1.0,1.0,1.0,
2395,2395,研華,電腦及週邊設備業,2026-09-04,711.0,6.6,36.21,111.29,66.35,1.0,6.28,12.15,11,9,4119518,3181348,1.222,1.295,100.0,62.65,True,599.51,11.28,False,727.0,-2.2,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,多頭確認,🔥 追高風險,5020071,2892501,782496.0,3818617.0,-155204.0,4445909.0,3161.0,1.0,1.0,1.0,1.0,
2880,2880,華南金,金融保險,2026-09-04,44.0,0.0,16.71,19.89,14.12,0.667,9.32,-0.9,10,10,26837986,27469372,1.0,0.977,85.28,67.61,True,40.52,11.77,False,45.15,-2.55,P-V-,P+V+,P+V+,➡️ 中性,多頭,頭頭高·底底高,,,12694801,20785709,51556240.0,29019297.0,-23076598.0,57498939.0,2530.0,12.0,12.0,12.0,12.0,
2883,2883,凱基金,金融保險,2026-09-04,36.7,18.2,33.94,73.52,49.8,1.0,12.06,18.96,13,5,49493023,43260389,2.6,1.144,100.0,79.27,True,30.9,17.97,False,36.75,-0.14,P+V-,P+V+,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,多頭確認,,42802542,51428170,103683552.0,99693194.0,-5129616.0,198247130.0,7275.7,1.0,1.0,1.0,1.0,
3231,3231,緯創,電子工業,2026-09-04,198.0,2.59,12.5,46.67,27.11,1.0,11.24,7.9,10,8,58335822,44881576,1.25,1.3,100.0,66.12,True,171.45,15.06,False,206.0,-3.88,P+V-,P+V+,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,,,82904263,50655485,4898515.0,19013802.0,-424971.0,23487346.0,4650.5,10.0,1.0,5.5,3.0,剛爆發
4958,4958,臻鼎-KY,電子工業,2026-09-04,463.0,-1.59,-5.99,134.43,65.32,0.333,-3.64,-2.11,11,9,37836800,33604923,1.222,1.126,85.31,46.53,False,506.0,27.0,False,659.0,-29.74,P-V-,P-V-,P+V+,😴 弱勢縮量,收斂,頭頭低·底底高,空轉多預警,🔥 追高風險,33930146,32725327,-39527162.0,-600161.0,-1322685.0,-41450008.0,-19191.4,4.0,16.0,10.0,6.0,吃老本
2892,2892,第一金,金融保險,2026-09-04,37.3,6.72,26.23,26.01,21.24,1.0,8.43,4.92,12,7,44266830,38475233,1.714,1.151,100.0,72.49,True,34.19,11.57,False,37.3,0.0,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 多頭確認,,30570826,41940094,239842731.0,41507093.0,-15033663.0,266316161.0,9933.6,9.0,1.0,5.0,9.0,剛爆發
2603,2603,長榮,航運業,2026-09-04,233.0,8.88,-1.27,10.95,7.38,0.667,0.65,12.29,13,7,19557171,17243710,1.857,1.134,100.0,55.11,True,211.78,13.08,False,256.5,-9.16,P+V+,P-V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,,,17620657,16472319,114125909.0,632381.0,-866785.0,113891505.0,26536.7,2.0,1.0,1.5,2.0,
3665,3665,貿聯-KY,電子工業,2026-09-04,2145.0,-2.05,-6.94,52.13,23.81,0.333,-5.09,-2.5,10,10,2996356,3155143,1.0,0.95,78.08,49.67,True,2085.2,20.85,False,3010.0,-28.74,P-V-,P-V-,P+V-,⚠️ 主升段結束,空頭,頭頭低·底底低,多轉空預警,,1458584,3427927,-5711355.0,-2054959.0,100438.0,-7665876.0,-16443.3,12.0,22.0,17.0,19.0,吃老本
1216,1216,統一,食品工業,2026-09-04,75.6,0.13,2.72,2.72,2.07,1.0,-0.13,-0.13,8,9,12739381,10081808,0.889,1.264,85.31,45.26,False,76.61,4.44,False,80.7,-6.32,P+V-,P+V+,P+V+,⚠️ 頂部背離,空頭,頭頭低·底底低,多轉空預警,,6727435,10093817,102669766.0,-7441805.0,-3313742.0,91914219.0,6948.7,1.0,1.0,1.0,1.0,
3045,3045,台灣大,電子工業,2026-09-04,118.0,6.79,1.72,8.76,6.51,1.0,2.16,5.83,7,5,14375279,12298948,1.4,1.169,95.82,70.66,True,113.35,3.88,False,121.5,-2.88,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,,5076578,8938214,71683180.0,3682721.0,-2950253.0,72415648.0,8545.0,22.0,6.0,14.0,13.0,剛爆發
