symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict
COIN,Financials,Coinbase,2026-08-28,178.64,21.94,-1.98,10.25,10.12,0.667,9505455,8621716,9840181,31.06,-22.04,-0.79,P+V+,P-V-,P+V-,➡️ 中性,1,73,48,32.0,-487.47,-3458.88,False,True,160.38,27.57,1.446,False,402.16,402.16,-55.58,-4.21,22.14,11.0,9.0,11037636.0,7632788.0,1.222,9981400.0,11904020.0,10150280.0,0.983,100.0,56.84,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 多頭確認,43,1,7,19.0,18,剛爆發,
HOOD,Financials,Robinhood Markets,2026-08-28,104.26,15.41,22.89,42.06,30.61,1.0,18466205,25940223,27070264,-13.74,-8.01,-16.23,P+V-,P+V-,P+V-,⚠️ 量能衰竭,2,15,4,6.3,43.71,8.63,False,True,101.37,20.5,1.274,False,153.86,153.86,-32.24,-3.58,20.45,11.0,9.0,20442490.0,16050744.0,1.222,16236400.0,21660350.0,18960366.0,0.856,100.0,54.1,擴散,頭頭高·底底低,,4,1,14,4.8,1,,
FDS,Financials,FactSet,2026-08-28,308.98,14.57,29.97,54.89,38.58,1.0,787090,945423,951491,-16.8,-1.27,13.86,P+V-,P+V-,P+V+,⚠️ 頂部背離,3,3,2,2.8,1.76,1.89,False,True,263.64,11.73,0.887,False,371.83,377.07,-16.9,3.02,17.39,11.0,9.0,744436.0,839222.0,1.222,715300.0,824360.0,793180.0,0.902,95.5,66.32,多頭,頭頭高·底底高,多頭確認,1,10,12,6.8,2,吃老本,
MRNA,Health Care,Moderna,2026-08-28,137.99,150.25,190.08,173.14,171.65,1.0,30347950,14537296,10989878,391.63,95.33,-4.51,P+V+,P+V+,P+V-,🚀 健康多頭,1,1,1,1.0,4.33,12.37,False,True,76.79,87.54,1.618,False,176.66,176.66,-21.89,-4.92,151.71,10.0,10.0,37513390.0,23182510.0,1.0,25766100.0,54793460.0,38677200.0,0.666,100.0,63.54,多頭,頭頭高·底底高,,1,1,22,5.2,3,,🔥 追高風險
VEEV,Health Care,Veeva Systems,2026-08-28,276.69,34.15,68.32,57.4,54.32,1.0,2052615,2278896,2563713,31.51,-20.0,59.34,P+V+,P+V-,P+V+,➡️ 中性,2,2,5,2.6,5.77,4.91,False,True,207.61,22.9,1.376,False,310.5,310.5,-10.89,11.61,35.78,13.0,7.0,2269738.0,1649385.0,1.857,3641600.0,2142130.0,2043513.0,1.782,100.0,74.85,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,4,1,1,2.2,1,,
CRL,Health Care,Charles River Laboratories,2026-08-28,291.5,26.26,60.75,75.54,59.52,1.0,979530,896063,900616,18.43,-1.01,-3.9,P+V+,P+V-,P+V-,➡️ 中性,3,3,3,3.0,10.31,5.42,False,True,245.1,8.31,1.252,False,303.31,303.31,-3.89,-1.25,25.37,13.0,7.0,1053776.0,841642.0,1.857,659800.0,895650.0,942246.0,0.7,100.0,67.98,擴散,頭頭高·底底低,多頭確認,3,1,20,5.6,4,,
LDOS,Industrials,Leidos,2026-08-28,140.66,18.48,7.27,-18.73,-2.93,0.667,1501110,1627820,1400547,9.31,38.74,62.95,P+V+,P+V+,P-V+,🚀 健康多頭,1,31,70,23.8,12.11,7.56,False,True,119.85,9.29,1.098,False,204.08,205.77,-31.07,-0.52,21.68,14.0,6.0,1542314.0,1404966.0,2.333,950200.0,1037600.0,1260720.0,0.754,100.0,61.94,多頭,頭頭高·底底高,空轉多預警,50,1,16,23.6,27,剛爆發,
BR,Industrials,Broadridge Financial Solutions,2026-08-28,183.64,16.72,23.49,4.57,12.33,1.0,1383725,1370547,1466347,46.94,-12.27,76.54,P+V+,P+V-,P+V+,➡️ 中性,2,6,27,8.2,1.68,4.45,False,True,156.92,10.7,1.233,False,253.49,258.7,-27.55,0.8,19.29,13.0,7.0,1481753.0,1201671.0,1.857,734200.0,1242700.0,1241840.0,0.591,100.0,68.64,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,8,1,26,8.8,7,剛爆發,
CPRT,Industrials,Copart,2026-08-28,32.99,12.4,-0.87,-6.49,-0.36,0.333,10368515,12073432,10439729,-14.69,37.1,25.62,P+V-,P-V+,P-V+,➡️ 中性,3,51,55,27.8,5.71,-8.12,True,True,29.78,11.3,1.1,False,50.11,50.11,-34.16,-2.4,13.29,12.0,8.0,10759700.0,9781737.0,1.5,6772000.0,11130180.0,10827720.0,0.625,98.76,62.41,多頭,頭頭高·底底高,空轉多預警,41,11,25,25.8,28,剛爆發,
PLTR,Information Technology,Palantir Technologies,2026-08-28,186.29,48.26,29.96,44.59,41.85,1.0,47088020,42783110,44555309,38.24,-7.65,-17.52,P+V+,P+V-,P+V-,➡️ 中性,1,11,21,8.0,18.51,18.08,False,True,143.75,10.99,1.713,False,207.52,207.52,-10.23,3.53,51.38,10.0,10.0,59467910.0,34708130.0,1.0,24995400.0,31023310.0,33773040.0,0.74,100.0,69.28,空頭,頭頭低·底底低,多頭確認,16,1,24,11.6,7,剛爆發,🔥 追高風險
CRM,Information Technology,Salesforce,2026-08-28,256.0,37.67,45.69,38.77,40.22,1.0,15293725,15691209,14637097,19.77,15.52,54.55,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,2,2,25,6.6,80.36,24.07,False,True,180.89,34.46,1.535,False,267.75,269.11,-4.39,22.39,39.12,11.0,9.0,18140054.0,11814877.0,1.222,34342700.0,19195410.0,16622913.0,2.066,100.0,80.8,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 多頭確認,17,1,1,7.4,2,剛爆發,🔥 追高風險
IT,Information Technology,Gartner,2026-08-28,198.39,30.92,23.09,34.65,30.83,1.0,1535310,1560975,1547140,17.21,1.8,16.74,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,3,18,27,12.3,17.06,13.64,False,True,157.56,15.43,0.949,False,265.85,265.85,-25.38,1.27,31.37,13.0,7.0,1506738.0,1588371.0,1.857,610200.0,1305170.0,1357100.0,0.45,100.0,65.05,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,21,1,32,15.2,15,剛爆發,🚀 暴漲中
NEM,Materials,Newmont,2026-08-28,127.98,34.19,18.25,3.58,14.9,1.0,7845825,8237616,8698936,8.53,-10.07,-16.41,P+V+,P+V-,P+V-,➡️ 中性,1,4,11,3.9,5.68,33.45,False,True,104.36,15.21,1.0,False,135.29,135.29,-5.4,-2.74,36.57,15.0,5.0,7845893.0,7845620.0,3.0,8821100.0,8225790.0,7882940.0,1.119,100.0,64.49,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,4,1,4,2.8,2,,
FCX,Materials,Freeport-McMoRan,2026-08-28,76.45,20.13,16.34,13.15,15.69,1.0,14381700,14766310,15731754,-5.62,-11.56,-14.68,P+V-,P+V-,P+V-,⚠️ 量能衰竭,2,5,4,3.3,18.5,21.95,False,True,65.57,19.55,1.176,False,80.24,80.24,-4.72,-0.27,22.07,12.0,8.0,15297891.0,13007412.0,1.5,18058100.0,17191120.0,14755686.0,1.224,100.0,63.19,多頭,頭頭高·底底高,多頭確認,3,1,1,1.8,1,,
ALB,Materials,Albemarle Corporation,2026-08-28,137.36,15.71,-21.9,-26.11,-14.6,0.333,2125170,2295472,2211709,0.98,7.87,-36.43,P+V+,P-V+,P-V-,✨ 反彈初期,3,25,25,14.0,15.71,124.6,False,True,129.76,10.44,1.172,False,220.44,221.0,-37.69,-4.11,16.76,12.0,8.0,2257500.0,1926675.0,1.5,1446000.0,1825990.0,1902380.0,0.76,100.0,57.16,空頭,頭頭低·底底低,,25,1,12,12.8,11,剛爆發,
CSGP,Real Estate,CoStar Group,2026-08-28,32.22,7.29,-0.25,-34.45,-15.46,0.333,5570475,7065258,7017707,-30.61,1.36,53.04,P+V-,P-V+,P-V+,➡️ 中性,1,14,30,10.7,11.88,24.8,False,True,30.1,8.78,1.059,False,91.89,91.89,-64.94,-0.12,12.03,9.0,10.0,5782533.0,5461520.0,0.9,4336700.0,5048470.0,5261753.0,0.824,89.2,54.35,擴散,頭頭高·底底低,,30,6,14,17.2,21,剛爆發,
AMT,Real Estate,American Tower,2026-08-28,176.23,1.87,-4.7,-5.52,-3.47,0.333,2103745,3027152,3085126,-34.11,-3.69,-0.56,P+V-,P-V-,P-V-,➡️ 中性,4,26,27,15.2,20.65,17.04,False,True,171.05,6.18,0.665,False,197.59,205.22,-10.81,0.24,1.66,14.0,6.0,1827735.0,2747766.0,2.333,1597100.0,1843490.0,1788500.0,0.893,97.73,54.82,擴散,頭頭高·底底低,,26,1,11,13.0,12,剛爆發,
EQIX,Real Estate,Equinix,2026-08-28,1044.41,1.74,-1.87,11.39,5.66,0.667,570550,596127,589428,6.61,2.3,7.72,P+V+,P-V+,P+V+,➡️ 中性,5,20,7,9.9,6.33,-3.8,False,False,1048.22,7.09,0.923,False,1118.65,1128.68,-6.64,-1.97,2.96,10.0,10.0,547760.0,593340.0,1.0,477100.0,520370.0,536980.0,0.888,82.14,46.18,多頭,頭頭高·底底高,,9,14,12,11.6,7,,
AWK,Utilities,American Water Works,2026-08-28,138.3,6.03,13.79,4.58,7.24,1.0,2183295,2333940,2088327,-1.79,26.66,27.75,P+V-,P+V+,P+V+,⚠️ 頂部背離,1,1,2,1.2,3.97,-7.4,False,True,133.26,5.01,1.113,False,141.77,145.64,-2.45,2.15,3.76,11.0,9.0,2287427.0,2056022.0,1.222,1908200.0,2061170.0,2190666.0,0.871,90.92,56.93,多頭,頭頭高·底底高,,1,2,8,2.8,1,,
CEG,Utilities,Constellation Energy,2026-08-28,276.75,1.27,-3.19,-11.09,-6.02,0.333,2592490,3356298,3267041,-5.91,5.62,12.02,P+V-,P-V+,P-V+,➡️ 中性,2,18,26,11.6,11.73,5.3,False,True,264.64,7.64,0.812,False,410.41,412.7,-32.57,1.42,5.49,11.0,9.0,2347227.0,2892255.0,1.222,1771800.0,2321600.0,2338753.0,0.758,86.4,54.58,多頭,頭頭高·底底高,,23,3,16,13.6,16,剛爆發,
ED,Utilities,Consolidated Edison,2026-08-28,107.49,0.39,1.95,-1.56,-0.19,0.667,2194420,2370746,2301970,0.28,6.16,8.07,P+V+,P+V+,P-V+,🚀 健康多頭,3,4,6,3.9,7.37,-3.83,False,False,109.08,3.98,1.054,False,114.33,116.23,-5.98,1.07,-0.44,12.0,8.0,2240141.0,2125837.0,1.5,1657100.0,2163280.0,2137686.0,0.775,91.11,47.86,空頭,頭頭低·底底低,,3,1,14,4.4,2,,
