symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,earnings_passed
TPR,Consumer Discretionary,"Tapestry, Inc.",2024-12-23,64.47,6.35,38.16,56.11,39.18,1.0,8,2,3,5.2,4.45,19.93,False,True,54.92,7.76,0.987,False,65.05,-0.9,5.12,8.72,11.0,9.0,5193272.0,5260222.0,1.222,2054900.0,4865540.0,5008333.0,0.41,92.89,2,8,21,8.2,4,吃老本,True
CVNA,Consumer Discretionary,Carvana,2024-12-23,43.02,-17.41,26.69,67.1,35.87,0.667,45,7,2,25.0,184.82,424.08,False,False,46.93,20.13,0.816,False,53.67,-19.84,-3.54,-15.64,9.0,11.0,10491000.0,12858318.0,0.818,11324500.0,12934750.0,12843766.0,0.882,65.75,3,22,2,10.4,9,吃老本,True
DASH,Consumer Discretionary,DoorDash,2024-12-23,169.34,-6.17,19.06,55.67,31.06,0.667,34,12,4,21.4,29.63,33.51,False,True,168.67,10.24,1.058,False,181.78,-6.84,1.01,-5.1,8.0,12.0,2618612.0,2475791.0,0.667,1585500.0,2663080.0,2659353.0,0.596,75.85,4,21,9,11.8,14,吃老本,True
EXPE,Consumer Discretionary,Expedia Group,2024-12-23,183.83,0.81,24.83,47.72,30.27,1.0,11,8,5,8.9,0.17,10.9,False,True,174.9,7.73,1.224,False,189.98,-3.24,3.73,0.64,9.0,11.0,1377933.0,1125681.0,0.818,1395000.0,1505900.0,1352466.0,1.031,85.57,5,15,1,8.2,4,吃老本,True
RCL,Consumer Discretionary,Royal Caribbean Group,2024-12-23,227.36,-4.43,31.38,46.64,30.06,0.667,32,5,6,18.7,3.3,16.6,False,True,223.46,9.17,1.224,False,252.17,-9.84,1.08,-3.46,9.0,11.0,2148077.0,1754745.0,0.818,1102000.0,2065730.0,2069266.0,0.533,82.05,6,18,13,12.2,15,吃老本,True
LULU,Consumer Discretionary,Lululemon Athletica,2024-12-23,386.67,20.59,38.09,29.45,29.39,1.0,2,3,12,4.3,5.46,7.31,False,True,336.5,8.0,1.35,False,516.39,-25.12,3.52,21.02,16.0,4.0,2506000.0,1856750.0,4.0,1075500.0,1610160.0,2397140.0,0.449,100.0,7,1,18,6.8,2,剛爆發,True
CCL,Consumer Discretionary,Carnival Corporation,2024-12-23,24.81,-1.38,35.28,33.97,25.46,0.667,19,4,8,12.3,93.99,10.0,False,True,24.05,10.09,1.083,False,26.88,-7.69,-0.4,-0.24,11.0,9.0,20762927.0,19171333.0,1.222,14967400.0,22386700.0,20778986.0,0.72,86.98,8,13,7,9.8,7,,True
WSM,Consumer Discretionary,"Williams-Sonoma, Inc.",2024-12-23,181.36,8.16,21.02,32.82,23.7,1.0,5,10,9,7.3,11.14,8.56,False,True,155.99,11.89,1.2,False,194.39,-6.7,3.6,8.55,13.0,7.0,2186030.0,1821614.0,1.857,772200.0,2435940.0,2198080.0,0.351,100.0,9,1,22,8.4,6,剛爆發,True
NCLH,Consumer Discretionary,Norwegian Cruise Line Holdings,2024-12-23,25.75,-4.24,22.91,37.04,23.19,0.667,31,9,7,19.6,5.28,16.74,False,False,26.08,9.58,1.45,False,28.64,-10.09,1.34,-4.35,8.0,12.0,11243550.0,7755883.0,0.667,6555900.0,8409940.0,9036846.0,0.725,83.3,10,16,6,11.6,13,吃老本,True
DECK,Consumer Discretionary,Deckers Brands,2024-12-23,207.11,5.69,29.91,28.38,23.09,1.0,9,6,13,8.9,28.31,30.35,False,True,184.79,6.59,1.061,False,214.7,-3.54,0.89,8.0,13.0,7.0,1686246.0,1589771.0,1.857,848200.0,1678310.0,1600400.0,0.53,100.0,11,1,14,7.6,3,剛爆發,True
RL,Consumer Discretionary,Ralph Lauren Corporation,2024-12-23,225.51,-0.45,17.22,32.14,20.27,0.667,13,15,10,13.0,5.15,9.37,False,True,211.58,5.53,1.051,False,232.16,-2.86,3.55,3.46,11.0,9.0,640736.0,609433.0,1.222,414900.0,626340.0,614720.0,0.675,90.23,12,10,8,10.4,9,,True
GRMN,Consumer Discretionary,Garmin,2024-12-23,204.33,-1.18,20.75,29.48,19.63,0.667,17,11,11,14.0,37.68,9.82,False,True,197.13,7.95,1.114,False,216.85,-5.78,1.92,-0.94,11.0,9.0,851118.0,764322.0,1.222,670700.0,874590.0,854453.0,0.785,88.02,13,12,4,10.8,12,,True
DRI,Consumer Discretionary,Darden Restaurants,2024-12-23,177.9,6.42,13.52,26.33,18.15,1.0,7,17,15,11.6,0.35,-4.52,False,True,160.01,16.59,1.381,False,179.41,-0.85,2.26,7.2,8.0,12.0,1918487.0,1389183.0,0.667,872800.0,2179470.0,1859333.0,0.469,89.39,14,11,17,13.4,16,,True
BKNG,Consumer Discretionary,Booking Holdings,2024-12-23,199.05,-3.0,18.78,27.66,17.78,0.667,28,14,14,21.0,8.42,8.28,False,True,194.86,6.31,1.135,False,210.9,-5.62,1.14,-3.4,11.0,9.0,5542045.0,4881111.0,1.222,2912500.0,5536000.0,5457166.0,0.534,86.62,15,14,12,14.0,17,,True
AMZN,Consumer Discretionary,Amazon,2024-12-23,223.75,7.63,19.03,15.78,14.56,1.0,6,13,22,11.3,25.22,23.76,False,True,208.56,6.3,1.228,False,233.0,-3.97,0.21,8.75,12.0,8.0,39575641.0,32216850.0,1.5,27367100.0,36033890.0,36408413.0,0.752,99.33,16,7,5,10.2,8,剛爆發,True
ULTA,Consumer Discretionary,Ulta Beauty,2024-12-23,442.15,14.36,9.44,14.59,13.24,1.0,3,19,25,12.2,13.63,-3.05,False,True,389.63,7.01,1.249,False,574.76,-23.07,3.91,17.83,12.0,8.0,1148100.0,919000.0,1.5,490300.0,766320.0,1015780.0,0.483,100.0,17,1,16,10.4,9,剛爆發,True
GM,Consumer Discretionary,General Motors,2024-12-23,53.48,-2.14,17.04,17.39,12.42,0.667,24,16,20,20.8,,,,,,,,,,,,,,,,,,,,,,,18,23,23,,23,,False
MAR,Consumer Discretionary,Marriott International,2024-12-23,279.82,-1.88,12.35,17.93,11.58,0.667,22,18,19,20.2,,,,,,,,,,,,,,,,,,,,,,,19,23,23,,23,,False
LVS,Consumer Discretionary,Las Vegas Sands,2024-12-23,50.22,-2.26,1.84,18.28,9.04,0.667,26,25,17,23.9,,,,,,,,,,,,,,,,,,,,,,,20,23,23,,23,,False
HLT,Consumer Discretionary,Hilton Worldwide,2024-12-23,249.14,-1.38,6.71,14.69,8.68,0.667,19,20,24,20.3,,,,,,,,,,,,,,,,,,,,,,,21,23,23,,23,,False
EBAY,Consumer Discretionary,eBay Inc.,2024-12-23,61.49,-0.76,-1.45,17.96,8.43,0.333,14,30,18,19.6,0.84,4.94,False,True,61.42,6.36,1.012,False,66.09,-6.97,-1.78,-1.92,8.0,11.0,4413862.0,4359863.0,0.727,1997500.0,4751290.0,4630373.0,0.431,76.76,22,20,20,20.8,21,,True
TJX,Consumer Discretionary,TJX Companies,2024-12-23,121.68,-1.39,5.81,13.31,7.76,0.667,21,22,28,22.7,,,,,,,,,,,,,,,,,,,,,,,23,23,23,,23,,False
MCD,Consumer Discretionary,McDonald's,2024-12-23,283.41,-0.21,-2.73,16.58,7.56,0.333,12,31,21,19.5,0.88,-3.18,False,False,285.4,4.52,0.94,False,305.01,-7.08,1.17,0.1,10.0,10.0,2920930.0,3106140.0,1.0,1617200.0,3094500.0,3073106.0,0.526,81.99,24,19,15,20.2,19,,True
ORLY,Consumer Discretionary,O’Reilly Automotive,2024-12-23,79.82,-3.69,4.48,13.38,6.89,0.667,29,23,27,26.8,,,,,,,,,,,,,,,,,,,,,,,25,23,23,,23,,False
SBUX,Consumer Discretionary,Starbucks,2024-12-23,88.77,-9.96,-4.66,19.95,6.32,0.333,41,34,16,33.9,,,,,,,,,,,,,,,,,,,,,,,26,23,23,,23,,False
AZO,Consumer Discretionary,AutoZone,2024-12-23,3241.62,2.27,1.41,9.36,5.6,1.0,10,26,29,18.6,-3.73,-10.17,False,True,3179.54,5.91,1.227,False,3416.71,-5.12,0.82,1.61,11.0,9.0,154218.0,125688.0,1.222,78600.0,130960.0,146100.0,0.538,91.1,27,9,11,16.6,18,剛爆發,True
HD,Consumer Discretionary,Home Depot (The),2024-12-23,377.92,-8.45,-1.15,15.42,5.31,0.333,36,29,23,31.3,,,,,,,,,,,,,,,,,,,,,,,28,23,23,,23,,False
LOW,Consumer Discretionary,Lowe's,2024-12-23,239.74,-8.84,-6.64,13.67,2.96,0.333,37,36,26,34.5,,,,,,,,,,,,,,,,,,,,,,,29,23,23,,23,剛爆發,False
ROST,Consumer Discretionary,Ross Stores,2024-12-23,150.67,-1.0,1.16,5.76,2.92,0.667,15,27,32,22.0,5.57,6.81,False,True,144.94,5.23,1.255,False,160.37,-6.05,3.5,-1.01,8.0,12.0,2747450.0,2189133.0,0.667,1341500.0,2345860.0,2437620.0,0.55,82.75,30,17,10,20.8,21,剛爆發,True
YUM,Consumer Discretionary,Yum! Brands,2024-12-23,131.41,-2.2,-2.88,3.1,0.28,0.333,25,32,33,28.7,,,,,,,,,,,,,,,,,,,,,,,31,23,23,,23,剛爆發,False
BBY,Consumer Discretionary,Best Buy,2024-12-23,81.21,-1.14,-12.99,6.57,-0.25,0.333,16,39,31,25.9,,,,,,,,,,,,,,,,,,,,,,,32,23,23,,23,剛爆發,False
CMG,Consumer Discretionary,Chipotle Mexican Grill,2024-12-23,60.78,-1.2,6.0,-2.98,-0.29,0.333,18,21,40,23.3,,,,,,,,,,,,,,,,,,,,,,,33,23,23,,23,剛爆發,False
TSCO,Consumer Discretionary,Tractor Supply,2024-12-23,52.99,-3.83,-4.29,1.85,-1.11,0.333,30,33,35,31.9,,,,,,,,,,,,,,,,,,,,,,,34,23,23,,23,剛爆發,False
NVR,Consumer Discretionary,"NVR, Inc.",2024-12-23,8208.39,-11.12,-15.68,8.17,-2.62,0.333,42,41,30,39.3,,,,,,,,,,,,,,,,,,,,,,,35,23,23,,23,剛爆發,False
NKE,Consumer Discretionary,"Nike, Inc.",2024-12-23,73.52,-2.49,-14.12,2.37,-2.97,0.333,27,40,34,32.3,,,,,,,,,,,,,,,,,,,,,,,36,23,23,,23,剛爆發,False
WYNN,Consumer Discretionary,Wynn Resorts,2024-12-23,87.41,-6.04,-8.91,-0.32,-3.9,0.0,33,37,38,35.2,,,,,,,,,,,,,,,,,,,,,,,37,23,23,,23,剛爆發,False
ABNB,Consumer Discretionary,Airbnb,2024-12-23,133.38,-2.0,4.0,-12.03,-5.52,0.333,23,24,42,27.1,,,,,,,,,,,,,,,,,,,,,,,38,23,23,,23,剛爆發,False
HAS,Consumer Discretionary,Hasbro,2024-12-23,53.71,-12.97,-20.46,-0.91,-8.81,0.0,43,44,39,42.5,,,,,,,,,,,,,,,,,,,,,,,39,23,23,,23,剛爆發,False
APTV,Consumer Discretionary,Aptiv,2024-12-23,60.34,8.66,-18.72,-14.31,-9.67,0.333,4,43,44,23.7,9.99,11.03,False,True,59.05,8.63,1.122,False,91.66,-34.17,5.84,8.68,14.0,6.0,4208750.0,3750966.0,2.333,1961600.0,4731360.0,4395840.0,0.446,100.0,40,1,19,20.2,19,剛爆發,True
DPZ,Consumer Discretionary,Domino's,2024-12-23,418.16,-9.49,0.46,-16.21,-10.36,0.333,39,28,45,36.9,,,,,,,,,,,,,,,,,,,,,,,41,23,23,,23,剛爆發,False
PHM,Consumer Discretionary,PulteGroup,2024-12-23,108.19,-18.88,-23.36,-0.2,-10.66,0.0,46,45,37,43.9,,,,,,,,,,,,,,,,,,,,,,,42,23,23,,23,剛爆發,False
DHI,Consumer Discretionary,D. R. Horton,2024-12-23,137.82,-16.89,-26.13,-0.06,-10.78,0.0,44,46,36,43.0,,,,,,,,,,,,,,,,,,,,,,,43,23,23,,23,剛爆發,False
F,Consumer Discretionary,Ford Motor Company,2024-12-23,9.12,-9.88,-5.69,-17.67,-12.73,0.0,40,35,46,39.7,,,,,,,,,,,,,,,,,,,,,,,44,23,23,,23,剛爆發,False
GPC,Consumer Discretionary,Genuine Parts Company,2024-12-23,111.08,-6.96,-16.52,-14.13,-12.94,0.0,35,42,43,38.7,,,,,,,,,,,,,,,,,,,,,,,45,23,23,,23,剛爆發,False
LEN,Consumer Discretionary,Lennar,2024-12-23,128.55,-21.33,-26.45,-7.89,-15.89,0.0,47,47,41,45.8,,,,,,,,,,,,,,,,,,,,,,,46,23,23,,23,剛爆發,False
MGM,Consumer Discretionary,MGM Resorts,2024-12-23,34.77,-9.31,-12.24,-21.76,-16.27,0.0,38,38,47,39.8,,,,,,,,,,,,,,,,,,,,,,,47,23,23,,23,剛爆發,False
WMT,Consumer Staples,Walmart,2024-12-23,90.43,-0.69,15.15,36.06,21.64,0.667,6,1,1,3.5,8.84,3.76,False,True,86.82,7.51,0.687,False,94.68,-4.49,-1.86,-0.02,13.0,7.0,16051500.0,23348885.0,1.857,11384400.0,19999760.0,19125160.0,0.595,89.13,1,4,12,4.4,1,,True
KR,Consumer Staples,Kroger,2024-12-23,60.48,2.06,10.9,26.3,16.39,1.0,4,2,2,3.0,0.23,1.69,False,True,57.32,5.07,1.955,False,61.69,-1.97,2.26,3.04,9.0,11.0,9934933.0,5082463.0,0.818,3628400.0,8135100.0,8121520.0,0.447,99.21,2,1,21,5.4,2,,True
CLX,Consumer Staples,Clorox,2024-12-23,153.45,-2.49,0.51,21.39,10.2,0.667,12,11,4,10.1,33.57,16.43,False,False,154.41,3.66,1.1,False,161.33,-4.88,-0.69,-2.48,11.0,9.0,1153354.0,1048944.0,1.222,596100.0,1220270.0,1188366.0,0.502,85.81,3,6,17,7.0,3,,True
PM,Consumer Staples,Philip Morris International,2024-12-23,115.31,-7.71,1.81,22.55,9.8,0.667,31,8,3,18.5,4.9,2.03,False,False,120.19,4.64,0.995,False,125.97,-8.46,0.51,-6.84,8.0,12.0,4875950.0,4899500.0,0.667,3923500.0,4877350.0,5121513.0,0.766,73.52,4,20,3,10.2,6,吃老本,True
MO,Consumer Staples,Altria,2024-12-23,47.36,-7.52,4.6,19.53,9.04,0.667,29,5,6,17.2,2.25,-2.56,False,False,48.01,4.35,1.1,False,51.48,-8.0,0.77,-7.37,6.0,14.0,8890066.0,8080014.0,0.429,6425500.0,9614980.0,8965773.0,0.717,71.57,5,21,6,11.6,9,吃老本,True
TAP,Consumer Staples,Molson Coors Beverage Company,2024-12-23,54.52,-6.16,2.48,15.52,6.84,0.667,25,7,7,16.0,7.92,13.98,False,False,55.47,7.19,1.16,False,63.7,-14.41,-1.42,-4.92,9.0,11.0,1867577.0,1609754.0,0.818,966900.0,1724730.0,1748873.0,0.553,79.06,6,13,15,10.6,8,吃老本,True
COST,Consumer Staples,Costco,2024-12-23,930.71,-3.31,6.25,10.86,6.16,0.667,14,4,8,9.8,6.43,1.41,False,True,928.84,7.91,0.762,False,998.61,-6.8,-1.58,-2.27,10.0,10.0,1816020.0,2381850.0,1.0,1943400.0,2400150.0,2226600.0,0.873,76.35,7,17,1,9.8,4,吃老本,True
KVUE,Consumer Staples,Kenvue,2024-12-23,20.2,-10.59,-6.63,20.62,6.01,0.333,33,16,5,22.3,2.98,15.65,False,False,21.42,5.08,1.105,False,22.94,-11.98,-0.37,-10.77,5.0,15.0,13411480.0,12132920.0,0.333,9833600.0,11670960.0,11770733.0,0.835,67.73,8,24,2,13.2,11,吃老本,True
SYY,Consumer Staples,Sysco,2024-12-23,73.31,-0.21,-0.25,9.31,4.54,0.333,5,13,10,8.4,-3.13,1.03,False,True,73.17,6.08,1.534,False,78.34,-6.42,0.52,0.39,8.0,12.0,3904687.0,2544775.0,0.667,1279300.0,2661560.0,2894700.0,0.442,87.3,9,5,22,10.0,5,,False
CASY,Consumer Staples,Casey's,2024-12-23,401.23,-4.02,8.35,6.15,4.16,0.667,17,3,12,11.8,13.47,7.19,False,False,405.65,7.97,0.735,False,436.68,-8.12,-1.26,-4.04,7.0,13.0,212514.0,289169.0,0.538,134600.0,253180.0,289286.0,0.465,68.01,10,22,19,16.6,19,吃老本,True
HRL,Consumer Staples,Hormel Foods,2024-12-23,29.4,-1.79,1.33,6.39,3.08,0.667,9,10,11,9.7,-1.16,1.44,False,True,28.96,5.58,0.92,False,33.41,-12.0,0.85,-0.22,9.0,11.0,2543844.0,2765863.0,0.818,1718600.0,2557260.0,2540433.0,0.676,78.58,11,14,9,11.8,10,,False
MKC,Consumer Staples,McCormick & Company,2024-12-23,73.32,-1.73,-6.95,9.83,2.74,0.333,8,18,9,11.2,23.25,17.3,False,False,74.35,5.97,1.475,False,80.93,-9.4,-1.52,-0.95,7.0,13.0,2241385.0,1519707.0,0.538,1235500.0,1724820.0,1831240.0,0.675,82.71,12,9,10,10.4,7,,True
MNST,Consumer Staples,Monster Beverage,2024-12-23,52.55,-4.68,0.17,5.21,1.48,0.667,20,12,13,16.2,-6.45,-9.61,False,False,53.5,5.95,1.115,False,61.23,-14.18,3.24,-4.7,6.0,14.0,5079883.0,4554592.0,0.429,3231200.0,4914960.0,4735873.0,0.682,74.43,13,18,8,14.0,13,,True
CHD,Consumer Staples,Church & Dwight,2024-12-23,103.95,-3.8,1.75,2.74,0.86,0.667,16,9,18,14.3,15.86,10.09,False,False,104.26,2.42,1.243,False,111.37,-6.66,0.09,-4.01,8.0,12.0,1593962.0,1282666.0,0.667,762500.0,1404580.0,1410106.0,0.541,79.38,14,12,16,13.6,12,,True
PG,Consumer Staples,Procter & Gamble,2024-12-23,161.57,-5.43,-1.74,4.02,0.22,0.333,22,14,14,18.0,1.75,1.92,False,False,162.35,3.79,0.683,False,171.96,-6.04,0.2,-5.48,10.0,10.0,5253050.0,7687100.0,1.0,4367900.0,7144090.0,6658440.0,0.656,73.75,15,19,11,15.8,16,,True
TSN,Consumer Staples,Tyson Foods,2024-12-23,55.07,-10.12,-2.12,3.03,-1.55,0.333,32,15,16,23.7,33.64,30.33,False,False,57.56,7.33,0.753,False,63.04,-12.64,-0.4,-9.35,3.0,16.0,1571300.0,2086562.0,0.188,1543400.0,2089530.0,2096566.0,0.736,60.22,16,25,4,17.2,21,吃老本,True
SJM,Consumer Staples,J.M. Smucker Company (The),2024-12-23,104.08,-6.09,-7.79,3.38,-1.78,0.333,24,19,15,20.7,10.17,12.24,False,False,107.24,5.8,1.045,False,122.1,-14.76,1.51,-6.25,9.0,11.0,1214844.0,1162045.0,0.818,513700.0,1134430.0,1185253.0,0.433,77.42,17,15,23,17.4,22,,True
GIS,Consumer Staples,General Mills,2024-12-23,58.29,-3.49,-13.3,2.92,-2.73,0.333,15,27,17,19.0,15.03,0.98,False,False,60.15,6.78,0.539,False,68.61,-15.04,-0.09,-3.44,12.0,8.0,3379591.0,6265250.0,1.5,1984400.0,5369660.0,4850293.0,0.409,79.84,18,11,24,16.4,18,剛爆發,True
