symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,earnings_passed
LULU,Consumer Discretionary,Lululemon Athletica,2023-08-21,365.59,-3.27,7.44,18.66,10.37,0.667,17,23,15,18.4,14.86,-77.92,False,False,378.62,7.94,0.878,False,394.64,-7.36,-4.12,-3.27,10.0,10.0,942080.0,1073260.0,1.0,1138400.0,1135280.0,1020713.0,1.115,76.75,17,16,7,14.6,16,,True
NVR,Consumer Discretionary,"NVR, Inc.",2023-08-21,6081.14,-4.13,8.25,18.48,10.27,0.667,18,21,16,18.5,,,,,,,,,,,,,,,,,,,,,,,18,28,28,,28,吃老本,False
LEN,Consumer Discretionary,Lennar,2023-08-21,105.15,-10.75,6.45,19.75,8.8,0.667,35,25,14,27.8,26.91,37.04,False,False,114.23,12.44,0.972,False,122.85,-14.41,-2.53,-10.75,7.0,13.0,1965385.0,2021970.0,0.538,2497794.0,2344817.0,2072563.0,1.205,67.62,19,23,5,17.8,23,,True
ROST,Consumer Discretionary,Ross Stores,2023-08-21,115.45,3.83,15.49,7.46,8.56,1.0,2,15,25,10.5,13.46,2.26,False,True,108.98,8.41,1.206,False,119.04,-3.02,0.24,3.83,10.0,9.0,2824150.0,2340888.0,1.111,2904900.0,3473220.0,2816973.0,1.031,90.17,20,2,12,11.2,6,剛爆發,True
HD,Consumer Discretionary,Home Depot (The),2023-08-21,299.23,-2.57,11.05,10.41,7.32,0.667,14,17,22,16.5,4.68,0.52,False,True,295.65,5.19,0.961,False,317.23,-5.68,-1.38,-2.57,12.0,8.0,3079150.0,3202950.0,1.5,2418100.0,3427470.0,3236046.0,0.747,87.23,21,4,24,14.8,17,剛爆發,True
LOW,Consumer Discretionary,Lowe's,2023-08-21,210.08,-5.11,8.52,11.76,6.73,0.667,22,20,21,21.2,,,,,,,,,,,,,,,,,,,,,,,22,28,28,,28,吃老本,False
ORLY,Consumer Discretionary,O’Reilly Automotive,2023-08-21,62.07,0.24,0.87,11.93,6.24,1.0,7,29,20,16.2,1.39,3.12,False,False,62.8,3.89,1.01,False,65.05,-4.58,-0.74,0.24,11.0,9.0,5111318.0,5063000.0,1.222,5005500.0,4915650.0,4825500.0,1.037,85.85,23,5,11,13.4,10,剛爆發,True
MCD,Consumer Discretionary,McDonald's,2023-08-21,265.16,-3.21,0.02,9.13,3.76,0.667,16,31,24,22.1,,,,,,,,,,,,,,,,,,,,,,,24,28,28,,28,,False
GRMN,Consumer Discretionary,Garmin,2023-08-21,97.9,-1.28,0.23,6.68,3.08,0.667,10,30,26,19.2,2.05,-1.39,False,False,99.3,3.52,1.395,False,102.83,-4.8,1.77,-1.28,8.0,12.0,841350.0,603333.0,0.667,455400.0,519370.0,540820.0,0.842,84.34,25,7,19,16.6,20,剛爆發,True
DRI,Consumer Discretionary,Darden Restaurants,2023-08-21,141.49,-6.88,-2.5,9.66,2.49,0.333,26,40,23,29.6,,,,,,,,,,,,,,,,,,,,,,,26,28,28,,28,,False
HLT,Consumer Discretionary,Hilton Worldwide,2023-08-21,146.01,-4.54,6.57,1.85,1.43,0.667,20,24,32,23.6,,,,,,,,,,,,,,,,,,,,,,,27,28,28,,28,,False
EXPE,Consumer Discretionary,Expedia Group,2023-08-21,105.63,-10.95,10.99,2.52,1.27,0.667,37,18,30,29.9,,,,,,,,,,,,,,,,,,,,,,,28,28,28,,28,,False
ABNB,Consumer Discretionary,Airbnb,2023-08-21,125.79,-17.96,17.77,2.45,1.18,0.667,45,7,31,30.8,26.19,82.28,False,False,135.57,8.17,0.798,False,154.95,-18.82,0.58,-17.96,4.0,16.0,4011275.0,5025212.0,0.25,2415200.0,4037610.0,4025400.0,0.6,57.18,29,27,27,27.8,27,,True
NCLH,Consumer Discretionary,Norwegian Cruise Line Holdings,2023-08-21,16.87,-21.68,16.51,2.87,0.14,0.667,46,12,27,32.0,13.23,29.46,False,False,19.64,7.75,0.747,False,22.75,-25.85,1.14,-21.68,7.0,13.0,10720442.0,14356923.0,0.538,7809700.0,8619940.0,9189093.0,0.85,58.59,30,26,17,25.8,26,,True
YUM,Consumer Discretionary,Yum! Brands,2023-08-21,122.46,-5.26,-0.09,2.77,0.05,0.333,24,32,28,27.2,,,,,,,,,,,,,,,,,,,,,,,31,28,28,,28,,False
F,Consumer Discretionary,Ford Motor Company,2023-08-21,9.97,-10.18,-0.42,2.61,-1.34,0.333,32,35,29,32.3,,,,,,,,,,,,,,,,,,,,,,,32,28,28,,28,,False
AZO,Consumer Discretionary,AutoZone,2023-08-21,2453.4,-0.98,-0.3,-3.43,-2.04,0.0,9,34,35,21.7,1.85,13.87,False,False,2480.17,4.94,0.928,False,2750.0,-10.79,-0.2,-0.98,10.0,10.0,122150.0,131690.0,1.0,109200.0,133110.0,123453.0,0.885,80.56,33,11,16,20.8,24,剛爆發,True
EBAY,Consumer Discretionary,eBay Inc.,2023-08-21,41.37,-3.15,-1.17,-2.17,-2.17,0.0,15,38,34,25.7,3.58,3.56,False,False,42.63,4.89,1.064,False,49.01,-15.58,1.4,-3.15,10.0,10.0,4776430.0,4487140.0,1.0,7250700.0,4435320.0,4426020.0,1.638,82.29,34,9,2,17.6,22,剛爆發,True
MGM,Consumer Discretionary,MGM Resorts,2023-08-21,42.17,-17.15,4.41,-1.01,-3.69,0.333,44,27,33,36.7,,,,,,,,,,,,,,,,,,,,,,,35,28,28,,28,剛爆發,False
TSCO,Consumer Discretionary,Tractor Supply,2023-08-21,40.59,-4.2,1.46,-6.47,-3.92,0.333,19,28,39,25.7,,,,,,,,,,,,,,,,,,,,,,,36,28,28,,28,剛爆發,False
SBUX,Consumer Discretionary,Starbucks,2023-08-21,89.05,-5.2,-2.58,-5.05,-4.47,0.0,23,41,37,31.2,,,,,,,,,,,,,,,,,,,,,,,37,28,28,,28,剛爆發,False
RL,Consumer Discretionary,Ralph Lauren Corporation,2023-08-21,106.82,-12.4,-0.19,-4.78,-5.54,0.0,40,33,36,37.1,,,,,,,,,,,,,,,,,,,,,,,38,28,28,,28,剛爆發,False
LVS,Consumer Discretionary,Las Vegas Sands,2023-08-21,49.87,-10.84,-6.3,-5.96,-7.26,0.0,36,44,38,38.8,,,,,,,,,,,,,,,,,,,,,,,39,28,28,,28,剛爆發,False
GPC,Consumer Discretionary,Genuine Parts Company,2023-08-21,139.32,-2.1,-2.03,-13.38,-7.73,0.0,12,39,42,26.1,3.91,5.56,False,False,145.65,3.54,0.947,False,168.86,-17.5,-1.18,-2.1,9.0,11.0,818900.0,864618.0,0.818,666200.0,719900.0,789246.0,0.844,77.11,40,15,18,25.6,25,剛爆發,True
APTV,Consumer Discretionary,Aptiv,2023-08-21,97.61,-10.59,5.95,-15.08,-8.7,0.333,34,26,43,33.4,,,,,,,,,,,,,,,,,,,,,,,41,28,28,,28,剛爆發,False
WYNN,Consumer Discretionary,Wynn Resorts,2023-08-21,92.82,-12.16,-5.34,-9.08,-8.91,0.0,38,43,40,39.9,,,,,,,,,,,,,,,,,,,,,,,42,28,28,,28,剛爆發,False
BBY,Consumer Discretionary,Best Buy,2023-08-21,62.65,-12.34,-1.06,-11.21,-8.95,0.0,39,37,41,38.8,,,,,,,,,,,,,,,,,,,,,,,43,28,28,,28,剛爆發,False
GM,Consumer Discretionary,General Motors,2023-08-21,31.95,-13.4,-0.75,-15.47,-11.27,0.0,42,36,44,40.6,,,,,,,,,,,,,,,,,,,,,,,44,28,28,,28,剛爆發,False
NKE,Consumer Discretionary,"Nike, Inc.",2023-08-21,92.86,-9.0,-7.76,-15.75,-12.07,0.0,29,45,45,37.0,,,,,,,,,,,,,,,,,,,,,,,45,28,28,,28,剛爆發,False
ULTA,Consumer Discretionary,Ulta Beauty,2023-08-21,407.15,-8.59,-3.12,-21.7,-13.78,0.0,28,42,47,36.0,,,,,,,,,,,,,,,,,,,,,,,46,28,28,,28,剛爆發,False
TPR,Consumer Discretionary,"Tapestry, Inc.",2023-08-21,30.68,-23.3,-20.32,-21.47,-21.64,0.0,47,47,46,46.8,,,,,,,,,,,,,,,,,,,,,,,47,28,28,,28,剛爆發,False
BG,Consumer Staples,Bunge Global,2023-08-21,103.95,4.64,20.24,16.44,14.44,1.0,1,1,3,1.4,39.63,0.52,False,True,95.99,3.47,1.139,False,106.89,-2.75,0.16,4.64,12.0,8.0,1332983.0,1169950.0,1.5,853300.0,984100.0,1085340.0,0.786,95.29,1,1,16,4.0,2,,True
STZ,Consumer Staples,Constellation Brands,2023-08-21,242.95,-4.46,11.79,16.63,10.15,0.667,17,2,2,9.5,2.85,7.39,False,True,241.86,5.0,0.999,False,255.36,-4.86,0.94,-4.46,7.0,13.0,837185.0,837792.0,0.538,409200.0,791060.0,800646.0,0.511,73.26,2,15,24,11.6,10,吃老本,True
CASY,Consumer Staples,Casey's,2023-08-21,241.03,-2.64,6.32,15.33,8.59,0.667,9,7,4,7.4,-8.37,31.76,False,True,239.69,4.52,0.989,False,253.87,-5.06,-1.01,-2.64,10.0,10.0,193790.0,196000.0,1.0,231300.0,184850.0,177086.0,1.306,80.31,3,5,3,3.8,1,,False
WMT,Consumer Staples,Walmart,2023-08-21,51.1,-0.96,8.17,12.05,7.83,0.667,4,5,7,4.9,7.88,11.64,False,True,50.8,4.91,0.844,False,52.7,-3.05,-0.07,-0.96,10.0,10.0,15996690.0,18961740.0,1.0,12267000.0,21678330.0,18976260.0,0.646,79.16,4,6,22,8.4,4,,True
TAP,Consumer Staples,Molson Coors Beverage Company,2023-08-21,56.71,-10.91,4.34,18.56,7.64,0.667,31,12,1,19.3,8.02,105.13,False,False,59.63,4.48,0.961,False,63.97,-11.35,-0.29,-10.91,6.0,14.0,1842333.0,1917871.0,0.429,1046200.0,1279340.0,1344293.0,0.778,66.58,5,23,17,14.6,17,吃老本,True
PG,Consumer Staples,Procter & Gamble,2023-08-21,141.88,-1.83,6.26,11.64,6.93,0.667,6,8,8,7.0,3.48,3.46,False,True,140.29,4.31,0.855,False,146.35,-3.06,0.66,-1.83,9.0,11.0,4636855.0,5422681.0,0.818,3541500.0,5029640.0,4766173.0,0.743,76.4,6,12,18,10.8,7,吃老本,True
MNST,Consumer Staples,Monster Beverage,2023-08-21,57.34,-1.39,-0.47,13.29,6.18,0.333,5,17,5,8.6,-0.95,13.99,False,False,57.58,4.24,0.877,False,60.47,-5.18,-0.03,-1.39,12.0,8.0,4103875.0,4678950.0,1.5,2654900.0,3424420.0,3881573.0,0.684,87.0,7,2,19,7.4,3,,False
CHD,Consumer Staples,Church & Dwight,2023-08-21,90.27,-3.69,-0.43,12.28,5.11,0.333,12,16,6,12.0,15.41,11.08,False,False,93.22,5.42,0.794,False,96.98,-6.92,0.23,-3.69,9.0,11.0,1052288.0,1324909.0,0.818,701400.0,951450.0,1028046.0,0.682,74.05,8,14,20,12.8,13,吃老本,True
COST,Consumer Staples,Costco,2023-08-21,513.2,-5.02,5.47,9.73,4.98,0.667,20,10,10,15.0,-8.27,2.25,False,False,522.89,6.62,0.866,False,547.87,-6.33,-1.82,-5.02,8.0,12.0,1281037.0,1479175.0,0.667,1511500.0,1528890.0,1396453.0,1.082,71.41,9,20,6,12.8,13,吃老本,False
BF-B,Consumer Staples,Brown–Forman,2023-08-21,63.26,-3.85,10.94,5.44,4.49,0.667,13,4,13,10.3,0.66,-55.93,False,True,63.14,5.22,1.184,False,71.65,-11.7,0.34,-3.85,6.0,14.0,1027883.0,868257.0,0.429,918700.0,994250.0,918200.0,1.001,74.97,10,13,8,10.8,7,,True
MDLZ,Consumer Staples,Mondelez International,2023-08-21,65.55,-4.72,-4.33,10.26,2.87,0.333,18,24,9,18.0,10.09,10.62,False,False,66.82,5.7,0.941,False,71.68,-8.54,0.52,-4.72,7.0,13.0,4825271.0,5126792.0,0.538,3890200.0,4848470.0,4632260.0,0.84,71.93,11,19,14,14.8,18,吃老本,True
KR,Consumer Staples,Kroger,2023-08-21,43.82,-3.51,-1.04,7.58,2.65,0.333,11,19,12,13.6,3.97,9.51,False,False,44.52,5.91,0.915,False,47.87,-8.46,-2.17,-3.51,8.0,12.0,3892962.0,4255408.0,0.667,3560500.0,4380280.0,4213180.0,0.845,73.04,12,17,13,14.2,16,,True
ADM,Consumer Staples,Archer Daniels Midland,2023-08-21,73.58,-5.94,11.73,0.37,1.63,0.667,23,3,19,16.2,19.15,17.35,False,True,73.05,5.94,0.925,False,87.84,-16.23,-2.41,-5.94,10.0,10.0,2356200.0,2547000.0,1.0,3717600.0,2163720.0,2192666.0,1.695,76.66,13,11,1,9.8,5,,True
MKC,Consumer Staples,McCormick & Company,2023-08-21,75.34,-9.3,-5.84,9.67,1.05,0.333,29,26,11,24.5,4.76,17.94,False,False,80.76,7.69,0.983,False,86.88,-13.28,-4.11,-9.3,6.0,14.0,1042683.0,1060371.0,0.429,1411100.0,970890.0,939213.0,1.502,66.42,14,24,2,15.6,19,吃老本,True
