Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2026-09-15,6695,芯鼎,225604,10367049,45.95,46.45,45.60,45.60,-0.4000,292
2026-09-15,6698,旭暉應材,131318,4129262,31.35,31.70,31.30,31.45,0.1000,125
2026-09-15,6706,惠特,19143749,2812716578,150.50,155.50,141.00,143.50,-7.5000,14058
2026-09-15,6715,嘉基,2625978,960454543,333.50,380.00,333.50,357.50,11.5000,3651
2026-09-15,6719,力智,285019,51465599,183.00,184.00,179.00,179.00,-3.5000,571
2026-09-15,6722,輝創,13025,418451,32.25,32.25,32.00,32.00,-0.1500,14
2026-09-15,6742,澤米,245117,10970746,45.95,45.95,44.20,44.20,-1.3000,649
2026-09-15,6743,安普新,392619,11550571,29.35,29.80,28.75,29.50,0.2500,305
2026-09-15,6753,龍德造船,451999,59141738,131.00,132.50,130.00,130.00,-3.0000,692
2026-09-15,6754,匯僑設計,11000,458400,41.70,42.00,41.30,41.30,-0.4000,9
2026-09-15,6756,威鋒電子,71459,6718871,94.20,94.70,93.50,93.80,-0.7000,241
2026-09-15,6757,台灣虎航,920004,48894597,53.80,54.00,52.70,52.80,-1.1000,1304
2026-09-15,6768,志強-KY,241559,15149268,61.90,63.20,61.70,62.40,0.7000,367
2026-09-15,6770,力積電,162022743,11034560029,70.00,70.10,66.70,66.90,-3.8000,100721
2026-09-15,6771,平和環保-創,29291,1217224,42.10,42.20,41.20,41.70,0.0000,31
2026-09-15,6776,展碁國際,43351,2237965,51.40,51.90,51.40,51.70,0.1000,37
2026-09-15,6781,AES-KY,313842,311997726,998.00,1010.00,982.00,982.00,-16.0000,2182
2026-09-15,6782,視陽,195636,44894997,222.50,234.00,222.50,231.00,4.0000,790
2026-09-15,6789,采鈺,756040,325668539,435.50,438.00,425.00,425.00,-11.0000,2302
2026-09-15,6790,永豐實,46930,1770775,37.80,37.80,37.70,37.70,-0.1000,57
2026-09-15,6792,詠業,31000,1814900,58.10,59.40,58.00,58.70,-0.7000,29
2026-09-15,6794,向榮生技,16000,1209800,76.50,76.50,75.00,76.50,0.0000,12
2026-09-15,6796,晉弘,43882,2204625,51.80,51.80,49.70,50.90,0.7000,44
2026-09-15,6799,來頡,82153,6397525,78.30,78.30,77.30,77.50,-1.2000,146
2026-09-15,6805,富世達,1303815,2697867445,2175.00,2195.00,2010.00,2025.00,-140.0000,4203
2026-09-15,6807,峰源-KY,2000,65000,32.40,32.60,32.40,32.60,-1.1500,2
2026-09-15,6830,汎銓,1006110,548228686,553.00,561.00,532.00,532.00,-24.0000,3302
2026-09-15,6831,邁科,532270,280823899,539.00,546.00,512.00,513.00,-28.0000,1693
2026-09-15,6834,天二科技,5641078,559533265,98.20,102.00,97.00,97.10,-1.1000,4783
2026-09-15,6835,圓裕,15000,453400,30.75,30.75,29.90,30.35,0.2500,14
2026-09-15,6838,台新藥,72365,1686288,23.40,23.40,23.10,23.35,-0.0500,48
2026-09-15,6854,錼創科技-KY創,212464,18762702,88.30,89.80,87.20,87.40,-1.8000,223
2026-09-15,6861,睿生光電,3944720,911956919,235.50,242.50,222.00,228.00,-7.5000,3885
2026-09-15,6862,三集瑞-KY,138260,18107942,133.50,133.50,130.00,130.00,-2.0000,179
2026-09-15,6863,永道-KY,109926,10166310,92.70,94.80,91.40,92.90,0.0000,296
2026-09-15,6869,雲豹能源,325886,20604764,62.80,63.50,62.70,63.50,0.0000,324
2026-09-15,6873,泓德能源,156299,10581100,68.90,68.90,67.00,67.10,-0.9000,275
2026-09-15,6885,全福生技,578526,15710208,28.00,28.00,26.60,26.60,-1.0000,545
2026-09-15,6887,寶綠特-KY,19010,717467,39.00,39.80,37.00,37.15,-1.0500,17
2026-09-15,6890,來億-KY,157125,23366415,148.00,149.50,147.00,148.50,1.0000,202
2026-09-15,6901,鑽石投資,530157,7952715,15.05,15.15,14.90,15.10,0.0500,339
2026-09-15,6902,GOGOLOOK,65270,8108044,124.00,126.00,122.50,124.50,0.5000,185
2026-09-15,6906,現觀科,24704,2028429,82.00,84.70,81.50,83.00,0.0000,65
2026-09-15,6908,宏碁遊戲-創,9040,272184,30.15,30.15,30.10,30.10,-0.7500,6
2026-09-15,6909,創控,379125,15528211,41.80,41.80,40.25,40.35,-1.4500,376
2026-09-15,6914,阜爾運通,35104,4199329,119.50,120.00,119.00,119.50,-0.5000,120
2026-09-15,6916,華凌,31000,559350,18.25,18.25,17.85,17.95,-0.2000,20
2026-09-15,6918,愛派司,3200,235340,73.50,73.50,73.50,73.50,0.4000,4
2026-09-15,6919,康霈*,4142059,336312353,79.80,83.40,79.60,79.90,0.6000,3875
2026-09-15,6921,嘉雨思-創,15000,911600,61.20,61.40,59.90,59.90,-1.1000,11
2026-09-15,6923,中台,61698,4684169,76.00,76.20,75.60,76.00,0.3000,51
2026-09-15,6924,榮惠-KY創,76567,10248195,140.00,140.00,128.00,128.00,0.0000,110
2026-09-15,6928,攸泰科技,51460,2343879,46.05,46.05,44.60,45.50,-1.5000,74
2026-09-15,6931,青松健康,24728,978938,40.00,40.00,39.50,39.50,-0.5000,41
2026-09-15,6933,AMAX-KY,1753249,508483393,310.50,312.00,280.50,286.00,-19.5000,3457
2026-09-15,6934,心誠鎂,29650,2163314,76.40,76.40,72.30,72.30,-0.8000,29
2026-09-15,6936,永鴻生技,27109,855691,31.60,31.80,31.50,31.80,0.2000,26
2026-09-15,6937,天虹,274117,76901106,282.50,287.00,277.50,277.50,-6.0000,508
2026-09-15,6944,兆聯實業,138983,96483338,689.00,699.00,689.00,691.00,-3.0000,600
2026-09-15,6947,台鎔科技,175483,11721964,67.60,67.60,66.50,66.60,-1.1000,204
2026-09-15,6949,沛爾生醫*-創,7426041,394575528,54.80,56.00,51.00,51.40,-4.4000,4959
2026-09-15,6951,青新-創,13758,961691,70.00,70.00,69.80,69.90,0.0000,91
2026-09-15,6952,大武山,9000,345600,38.40,38.80,38.20,38.75,0.2000,9
2026-09-15,6955,邦睿生技-創,5000,490200,98.50,98.50,97.70,97.70,0.0000,3
2026-09-15,6957,裕慶-KY,170601,41247531,244.00,245.00,238.00,245.00,5.0000,1093
2026-09-15,6958,日盛台駿,70002,1211036,17.15,17.75,17.05,17.15,-0.2000,52
2026-09-15,6958A,日盛台駿甲特,26000,533200,20.30,20.70,20.30,20.70,0.5000,14
2026-09-15,6962,奕力-KY,720664,22131339,30.90,31.00,30.55,30.55,-0.2000,560
2026-09-15,6965,中傑-KY,26290,1796856,67.70,69.30,67.70,69.00,0.4000,31
2026-09-15,6969,成信實業*-創,157126,5058517,32.10,32.80,31.70,32.20,-0.4500,110
2026-09-15,6988,威力暘-創,11001,130412,11.95,11.95,11.80,11.80,-0.2000,6
2026-09-15,6994,富威電力,1892332,49899123,27.50,27.50,25.60,26.10,-1.9000,1401
2026-09-15,7610,聯友金屬-創,878535,1496451125,1695.00,1755.00,1655.00,1655.00,-125.0000,5667
2026-09-15,7631,聚賢研發-創,13246,1775010,133.50,135.00,133.00,134.00,0.0000,21
2026-09-15,7689,大鵬科CLMX,15716,2421923,154.50,154.50,153.50,153.50,-1.0000,47
2026-09-15,7705,三商餐飲,27365,816640,29.80,29.90,29.75,29.90,0.0500,44
2026-09-15,7711,永擎,3570247,1625933002,461.00,473.00,438.00,468.00,-10.0000,5529
2026-09-15,7721,微程式,73122,4237106,58.70,58.80,56.60,57.50,-1.4000,66
2026-09-15,7722,LINEPAY,29380,7770476,261.00,267.00,261.00,264.00,-1.5000,231
2026-09-15,7730,暉盛-創,95271,16098916,168.00,171.00,167.00,169.00,1.0000,70
2026-09-15,7732,金興精密,3000,100000,33.00,33.80,33.00,33.80,-0.3500,3
2026-09-15,7736,虎山,6889,475896,69.00,69.90,68.50,69.00,0.6000,39
2026-09-15,7740,熙特爾-創,177665,21856131,126.00,126.00,121.50,123.50,-0.5000,209
2026-09-15,7749,意騰-KY,193727,67498897,339.00,354.50,338.50,352.50,13.5000,361
2026-09-15,7750,新代,139284,266661725,1910.00,1940.00,1890.00,1890.00,-70.0000,1193
2026-09-15,7760,享溫馨,18060,593930,33.00,33.00,32.50,32.95,-0.0500,17
2026-09-15,7765,中華資安,2000032,501189484,255.00,260.00,235.00,235.00,-5.0000,2966
2026-09-15,7768,頌勝科技,33937,8594363,252.00,255.00,252.00,252.50,-3.0000,106
2026-09-15,7769,鴻勁,420235,2599127605,6255.00,6285.00,6105.00,6135.00,-170.0000,5750
2026-09-15,7780,大研生醫*,602925,9679680,16.10,16.15,16.00,16.05,-0.0500,406
2026-09-15,7786,東方風能,117863,13702549,114.00,119.50,113.00,119.50,5.5000,115
2026-09-15,7788,松川精密,1428881,406901987,280.00,291.50,279.50,280.50,-1.5000,2267
2026-09-15,7791,皇家可口,19730,1087678,55.10,55.40,55.00,55.40,0.3000,73
2026-09-15,7795,長廣,932332,443012486,486.50,490.50,463.00,466.00,-25.0000,9751
2026-09-15,7799,禾榮科,277482,114932934,410.00,424.00,408.00,415.50,-2.5000,574
2026-09-15,7803,雲象科技-創,35210,654107,18.60,19.00,18.50,18.55,-0.4500,33
2026-09-15,7818,溢泰實業,96519,5753474,60.10,60.20,59.20,60.00,-0.2000,85
2026-09-15,7821,神數,75390,2902287,38.60,38.65,38.30,38.60,-0.1000,143
2026-09-15,7822,倍利科,129355,103752610,810.00,821.00,792.00,800.00,-10.0000,1602
2026-09-15,7823,奧義賽博-KY創,72158,5889171,82.20,83.50,80.30,80.30,-1.5000,72
2026-09-15,7827,漢康-KY創,100172,14971371,151.00,151.00,148.00,149.50,-2.5000,170
