日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-07,塑膠類報酬指數,771.24,+,14.82,1.96,
2026-09-07,紡織纖維類報酬指數,909.65,-,10.45,-1.14,
2026-09-07,電機機械類報酬指數,912.25,-,1.91,-0.21,
2026-09-07,電器電纜類報酬指數,189.51,-,1.90,-0.99,
2026-09-07,化學生技醫療類報酬指數,289.89,-,1.13,-0.39,
2026-09-07,化學類報酬指數,369.54,-,3.97,-1.06,
2026-09-07,生技醫療類報酬指數,145.19,-,0.15,-0.10,
2026-09-07,玻璃陶瓷類報酬指數,184.45,+,4.34,2.41,
2026-09-07,造紙類報酬指數,471.79,-,8.04,-1.68,
2026-09-07,鋼鐵類報酬指數,229.64,-,1.54,-0.67,
2026-09-07,橡膠類報酬指數,355.28,-,4.52,-1.26,
2026-09-07,汽車類報酬指數,541.84,-,0.63,-0.12,
2026-09-07,電子工業類報酬指數,6202.41,+,125.38,2.06,
2026-09-07,半導體類報酬指數,3050.34,+,86.52,2.92,
2026-09-07,電腦及週邊設備類報酬指數,1229.40,-,26.73,-2.13,
2026-09-07,光電類報酬指數,123.30,-,4.22,-3.31,
2026-09-07,通信網路類報酬指數,561.56,-,3.02,-0.53,
2026-09-07,電子零組件類報酬指數,1902.13,+,34.77,1.86,
2026-09-07,電子通路類報酬指數,1030.02,+,3.91,0.38,
2026-09-07,資訊服務類報酬指數,634.91,-,1.97,-0.31,
2026-09-07,其他電子類報酬指數,517.88,+,6.21,1.21,
2026-09-07,建材營造類報酬指數,1087.32,-,2.89,-0.27,
2026-09-07,航運類報酬指數,476.99,-,0.89,-0.19,
2026-09-07,觀光餐旅類報酬指數,164.91,+,0.01,0.01,
2026-09-07,金融保險類報酬指數,6981.73,-,15.87,-0.23,
2026-09-07,貿易百貨類報酬指數,419.15,-,2.88,-0.68,
2026-09-07,油電燃氣類報酬指數,186.84,+,3.44,1.88,
2026-09-07,綠能環保類報酬指數,151.67,+,4.32,2.93,
2026-09-07,數位雲端類報酬指數,43.46,-,0.22,-0.50,
2026-09-07,運動休閒類報酬指數,67.69,-,0.13,-0.19,
2026-09-07,居家生活類報酬指數,115.16,-,2.63,-2.23,
2026-09-07,其他類報酬指數,545.38,-,0.96,-0.18,
2026-09-07,臺灣生技報酬指數,5052.38,-,17.49,-0.34,
2026-09-07,臺灣中小型公司治理報酬指數,28954.72,-,30.82,-0.11,
2026-09-07,臺灣IPO報酬指數,11459.06,+,282.76,2.53,
2026-09-07,智慧中立報酬指數,4464.04,-,14.93,-0.33,
2026-09-07,加權指數掩護性臺指買權價外5%報酬指數,17726.45,+,156.82,0.89,
2026-09-07,臺灣企業社會責任中小型報酬指數,21905.07,-,25.96,-0.12,
2026-09-07,特選臺灣電動車代表報酬指數,27780.70,-,197.72,-0.71,
2026-09-07,臺灣科技龍頭通訊報酬指數,31760.05,+,718.65,2.32,
2026-09-07,臺灣全市場報酬指數,19645.33,+,325.88,1.69,
2026-09-07,臺灣全市場半導體報酬指數,25426.09,+,979.96,4.01,
2026-09-07,臺灣智慧移動與電動車報酬指數,21860.40,+,350.15,1.63,
2026-09-07,特選小資高價30報酬指數,26615.20,+,649.67,2.50,
2026-09-07,特選臺灣綠能及電動車報酬指數,14564.12,+,155.26,1.08,
2026-09-07,特選臺灣智能車供應鏈聯盟報酬指數,22261.67,+,572.11,2.64,
2026-09-07,臺灣全市場半導體精選30報酬指數,19316.91,+,624.13,3.34,
2026-09-07,特選臺灣高股息30報酬指數,11160.99,-,66.05,-0.59,
2026-09-07,臺灣友善環境報酬指數,16433.29,+,271.28,1.68,
2026-09-07,台灣永續價值報酬指數,16135.74,+,239.45,1.51,
2026-09-07,特選臺灣IC設計報酬指數,9657.18,+,360.99,3.88,
2026-09-07,特選臺灣環境永續高股息報酬指數,11506.01,-,98.68,-0.85,
2026-09-07,特選臺灣IC設計產業代表報酬指數,14033.70,+,614.33,4.58,
2026-09-07,特選臺灣綠能報酬指數,11002.48,+,20.22,0.18,
2026-09-07,特選臺灣智慧50報酬指數,13808.46,+,304.37,2.25,
2026-09-07,臺灣晶圓製造報酬指數,20163.54,+,941.76,4.90,
2026-09-07,臺灣精選高息報酬指數,13183.25,-,50.46,-0.38,
2026-09-07,臺灣多因子優選高股息30報酬指數,15236.59,+,119.91,0.79,
2026-09-07,特選臺灣優利高填息30報酬指數,17904.40,-,84.99,-0.47,
2026-09-07,特選臺灣科技優息報酬指數,18176.87,-,9.61,-0.05,
2026-09-07,臺灣半導體收益報酬指數,18953.65,+,640.11,3.50,
2026-09-07,臺灣優選成長高股息報酬指數,15722.27,+,44.91,0.29,
2026-09-07,特選臺灣ESG低碳高息40報酬指數,13606.56,+,34.54,0.25,
2026-09-07,臺灣優選多因子30報酬指數,18067.59,+,42.53,0.24,
2026-09-07,臺灣創新科技50報酬指數,24844.36,+,834.11,3.47,
2026-09-07,臺灣全市場新經濟產業報酬指數,4489.58,+,23.39,0.52,
2026-09-07,臺灣ESG永續高股息等權重報酬指數,8471.68,-,65.75,-0.77,
2026-09-07,臺灣永續高息中小型報酬指數,9050.81,+,30.74,0.34,
2026-09-07,特選臺灣高息動能報酬指數,12653.57,-,28.16,-0.22,
2026-09-07,臺灣電子成長高息等權重報酬指數,9682.19,-,48.56,-0.50,
2026-09-07,特選臺灣優利成長報酬指數,8440.99,+,17.86,0.21,
2026-09-07,臺灣價值高息報酬指數,8770.02,-,14.09,-0.16,
2026-09-07,特選臺灣IC設計動能報酬指數,14466.58,+,443.20,3.16,
2026-09-07,臺灣趨勢動能高股息報酬指數,9670.43,+,71.46,0.74,
2026-09-07,特選臺灣科技高息成長報酬指數,10012.53,-,3.44,-0.03,
2026-09-07,特選臺灣AI優息動能報酬指數,8657.18,-,54.34,-0.62,
2026-09-07,臺灣優選AI 50報酬指數,10302.20,-,5.18,-0.05,
2026-09-07,台灣旗艦動能50報酬指數,11606.15,+,244.25,2.15,
2026-09-07,特選臺灣動能趨勢報酬指數,17540.16,+,593.34,3.50,
2026-09-07,特選臺灣動能優息報酬指數,7695.47,+,2.32,0.03,
2026-09-07,特選臺灣璞玉精選收益報酬指數,4832.20,+,4.33,0.09,
2026-09-07,漲升股利150報酬指數,34687.53,+,546.18,1.60,
2026-09-07,藍籌30報酬指數,40965.02,+,952.54,2.38,
2026-09-07,工業菁英30報酬指數,38739.85,+,642.42,1.69,
2026-09-07,低波動股利精選30報酬指數,20127.60,+,202.35,1.02,
2026-09-07,中小型A級動能50報酬指數,41034.35,+,574.59,1.42,
2026-09-07,特選高息低波報酬指數,20751.66,-,43.46,-0.21,
2026-09-07,臺灣永續報酬指數,38002.33,+,712.93,1.91,
2026-09-07,存股雙十等權重報酬指數,33004.69,-,21.06,-0.06,
2026-09-07,特選大蘋果報酬指數,39189.60,+,837.69,2.18,
2026-09-07,中小型300報酬指數,23428.38,+,7.17,0.03,
2026-09-07,微波高息精選20報酬指數,19635.71,+,581.98,3.05,
2026-09-07,特選世代行動通訊報酬指數,24834.09,+,303.04,1.24,
2026-09-07,智慧投資多因子30報酬指數,11440.24,-,14.34,-0.13,
2026-09-07,特選大蘋果報酬正向兩倍指數,221659.28,+,"9,277.76",4.37,
2026-09-07,特選大蘋果報酬反向一倍指數,1023.31,-,22.85,-2.18,
2026-09-07,臺灣上櫃永續報酬指數,16908.25,+,545.36,3.33,
2026-09-07,特選台股領航報酬指數,35912.40,+,"1,068.42",3.07,
2026-09-07,特選Smart多因子報酬指數,24469.13,+,533.19,2.23,
2026-09-07,特選ESG高股息報酬指數,20105.51,+,682.30,3.51,
2026-09-07,特選上櫃ESG成長報酬指數,11787.55,+,480.58,4.25,
2026-09-07,臺灣優息存股報酬指數,7875.03,-,35.39,-0.45,
2026-09-07,特選上櫃ESG永續高股息報酬指數,16362.23,+,106.04,0.65,
2026-09-07,特選臺灣金融高股息存股報酬指數,13724.42,-,33.96,-0.25,
2026-09-07,特選臺灣產業龍頭存股等權重報酬指數,11218.66,-,5.45,-0.05,
2026-09-07,上櫃ESG 30報酬指數,17024.66,+,343.27,2.06,
2026-09-07,臺灣ESG低碳50報酬指數,19930.45,+,406.01,2.08,
2026-09-07,臺灣創新板報酬指數,25637.74,+,79.95,0.31,
2026-09-07,特選上櫃ESG龍頭報酬指數,14301.27,+,137.08,0.97,
2026-09-07,臺灣市值動能50報酬指數,12107.98,+,171.55,1.44,
2026-09-07,臺灣護城河概念優選50報酬指數,11365.23,+,197.97,1.77,
2026-09-07,特選臺灣中小型精選動能100報酬指數,7572.43,+,13.50,0.18,
2026-09-07,特選臺灣大型股25報酬指數,12466.02,+,274.50,2.25,
2026-09-07,特選臺灣TOP 50報酬指數,9624.38,+,173.40,1.83,
2026-09-07,臺灣璞玉報酬指數,5953.33,-,30.35,-0.51,
2026-09-07,特選臺灣市值領航50報酬指數,6755.92,+,124.36,1.88,
2026-09-07,臺灣璞玉中小優選100報酬指數,5093.70,-,39.46,-0.77,
